# tts_todo.csv — TTS render-queue, self-consuming bij boot
# regel wordt na succesvolle render uit dit bestand verwijderd
# formaat: lang; voice; tempo; dir; file; tekst
# - lang  : NL (enige toegestane waarde nu)
# - voice : 0=Lotte 1=Bram 2=Daan; -1=random
# - tempo : -3..+3; 99=random
# - dir   : 1-200 (SD-dir nummer)
# - file  : 1-99
# - tekst : alles na de 5e ';', max 160 chars; geen ';' in tekst
#
# Demo Kwal2 v1.0 — 30 chapters (chapter 10 = placeholder, geen TTS)
# Chapters 17-21 hebben ook live TTS in /150/086-090, gerenderd bij demo-start
#
NL; 1; -1; 150; 001; Demonstratie voor Kwal twee, versie een punt nul
NL; 1; -1; 150; 002; welkom - deze kwal heeft bescheiden licht en geluidsvolume, zorg dat het stil en donker is
NL; 1; -1; 150; 003; er volgt nu een reeks voorbeelden
NL; 1; -1; 150; 004; eerst voorbeelden van wat er allemaal kan
NL; 1; -1; 150; 005; daarna voorbeelden van wat kwal dagelijks doet
NL; 1; -1; 150; 006; een extreem, verontrustend voorbeeld wat kan
NL; 1; -1; 150; 007; of zoiets - het kan wel
NL; 1; -1; 150; 008; of de onvermijdelijke disco
NL; 1; -1; 150; 009; of zes ringen, elk een eigen kleur, langzaam draaiend
NL; 1; -1; 150; 011; voor dagelijks gebruik liever wat rustiger
NL; 1; -1; 150; 012; alsof de kwal rustig ademt
NL; 1; -1; 150; 013; een verre herinnering aan het noorderlicht
NL; 1; -1; 150; 014; een warme avondgloed
NL; 1; -1; 150; 015; of stille fonkelende sterren
NL; 1; -1; 150; 016; tot slot - zo eindigt elke dag bij kwal
NL; 1; -1; 150; 017; kwal kent de tijd - luister
NL; 1; -1; 150; 018; kwal voelt de kamer
NL; 1; -1; 150; 019; kwal volgt de zon
NL; 1; -1; 150; 020; en de maan
NL; 1; -1; 150; 021; kwal volgt de kalender - vandaag en wat komen gaat
NL; 1; -1; 150; 022; kwal varieert elke uitvoering. dit is de basis,
NL; 1; -1; 150; 023; patroon iets anders,
NL; 1; -1; 150; 024; weer de basis,
NL; 1; -1; 150; 025; kleur iets anders,
NL; 1; -1; 150; 026; weer de basis,
NL; 1; -1; 150; 027; en allebei tegelijk.
NL; 1; -1; 150; 028; tot slot - weer de basis.
NL; 1; -1; 150; 029; en tot slot - kwal kan ook een avondje televisie nabootsen, alsof er iemand thuis is.
NL; 1; -1; 150; 030; tot besluit - vuurwerk!
NL; 1; -1; 150; 031; bedankt voor het kijken naar kwal twee - tot ziens.
